date,close,N_price
2019/1/24,13505,13.505
2019/1/25,13475,13.475
2019/1/28,13440,13.44
2019/1/29,13360,13.36
2019/1/30,13410,13.41
2019/1/31,13450,13.45
2019/2/1,13500,13.5
2019/2/11,13285,13.285
2019/2/12,13320,13.32
2019/2/13,13310,13.31
2019/2/14,13350,13.35
2019/2/15,13360,13.36
2019/2/18,13460,13.46
2019/2/19,13430,13.43
2019/2/20,13480,13.48
2019/2/21,13505,13.505
2019/2/22,13645,13.645
2019/2/25,13725,13.725
2019/2/26,13645,13.645
2019/2/27,13645,13.645
2019/2/28,13630,13.63
2019/3/1,13640,13.64
2019/3/4,13705,13.705
2019/3/5,13700,13.7
2019/3/6,13655,13.655
2019/3/7,13680,13.68
2019/3/8,13685,13.685
2019/3/11,13700,13.7
2019/3/12,13680,13.68
2019/3/13,13785,13.785
2019/3/14,13810,13.81
2019/3/15,13815,13.815
2019/3/18,13555,13.555
2019/3/19,13680,13.68
2019/3/20,13760,13.76
2019/3/21,13755,13.755
2019/3/22,13710,13.71
2019/3/25,13605,13.605
2019/3/26,13595,13.595
2019/3/27,13600,13.6
2019/3/28,13635,13.635
2019/3/29,13665,13.665
2019/4/1,13835,13.835
2019/4/2,13745,13.745
2019/4/3,13775,13.775
2019/4/4,13760,13.76
2019/4/8,13780,13.78
2019/4/9,13790,13.79
2019/4/10,13810,13.81
2019/4/11,13795,13.795
2019/4/12,13810,13.81
2019/4/15,13845,13.845
2019/4/16,13870,13.87
2019/4/17,13970,13.97
2019/4/18,14025,14.025
2019/4/19,14045,14.045
2019/4/22,14170,14.17
2019/4/23,14160,14.16
2019/4/24,14130,14.13
2019/4/25,14225,14.225
2019/4/26,14165,14.165
2019/4/29,14210,14.21
2019/4/30,14160,14.16
2019/5/6,13950,13.95
2019/5/7,14025,14.025
2019/5/8,14050,14.05
2019/5/9,14050,14.05
2019/5/10,14190,14.19
2019/5/13,14240,14.24
2019/5/14,14215,14.215
2019/5/15,14320,14.32
2019/5/16,14335,14.335
2019/5/17,14290,14.29
2019/5/20,14275,14.275
2019/5/21,14240,14.24
2019/5/22,14140,14.14
2019/5/23,14125,14.125
2019/5/24,14240,14.24
2019/5/27,14310,14.31
2019/5/28,14245,14.245
2019/5/29,14180,14.18
2019/5/30,14160,14.16
2019/5/31,14160,14.16
2019/6/3,14140,14.14
2019/6/4,14065,14.065
2019/6/5,14095,14.095
2019/6/6,13990,13.99
2019/6/10,13955,13.955
2019/6/11,14050,14.05
2019/6/12,14005,14.005
2019/6/13,14030,14.03
2019/6/14,13945,13.945
2019/6/17,13835,13.835
2019/6/18,13850,13.85
2019/6/19,13895,13.895
2019/6/20,13930,13.93
2019/6/21,13825,13.825
2019/6/24,13865,13.865
2019/6/25,13930,13.93
2019/6/26,13930,13.93
2019/6/27,13920,13.92
2019/6/28,13850,13.85
2019/7/1,13740,13.74
2019/7/2,13695,13.695
2019/7/3,13635,13.635
2019/7/4,13750,13.75
2019/7/5,13775,13.775
2019/7/8,13750,13.75
2019/7/9,13725,13.725
2019/7/10,13765,13.765
2019/7/11,13780,13.78
2019/7/12,13750,13.75
2019/7/15,13850,13.85
2019/7/16,13885,13.885
2019/7/17,13865,13.865
2019/7/18,13845,13.845
2019/7/19,13900,13.9
2019/7/22,13845,13.845
2019/7/23,13755,13.755
2019/7/24,13775,13.775
2019/7/25,13870,13.87
2019/7/26,13875,13.875
2019/7/29,13875,13.875
2019/7/30,13910,13.91
2019/7/31,13870,13.87
2019/8/1,13840,13.84
2019/8/2,13800,13.8
2019/8/5,13855,13.855
2019/8/6,13875,13.875
2019/8/7,13820,13.82
2019/8/8,13875,13.875
2019/8/9,13885,13.885
2019/8/12,14120,14.12
2019/8/13,14175,14.175
2019/8/14,14170,14.17
2019/8/15,14200,14.2
2019/8/16,14160,14.16
2019/8/19,14365,14.365
2019/8/20,14320,14.32
2019/8/21,14335,14.335
2019/8/22,14340,14.34
2019/8/23,14295,14.295
2019/8/26,14210,14.21
2019/8/27,14250,14.25
2019/8/28,14285,14.285
2019/8/29,14220,14.22
2019/8/30,14260,14.26
2019/9/2,14345,14.345
2019/9/3,14325,14.325
2019/9/4,14350,14.35
2019/9/5,14350,14.35
2019/9/6,14395,14.395
2019/9/9,14405,14.405
2019/9/10,14405,14.405
2019/9/11,14480,14.48
2019/9/12,14535,14.535
2019/9/16,14600,14.6
2019/9/17,14295,14.295
2019/9/18,14275,14.275
2019/9/19,14210,14.21
2019/9/20,14295,14.295
2019/9/23,14275,14.275
2019/9/24,14235,14.235
2019/9/25,14165,14.165
2019/9/26,14085,14.085
2019/9/27,14025,14.025
2019/9/30,14025,14.025
2019/10/8,14020,14.02
2019/10/9,13980,13.98
2019/10/10,13975,13.975
2019/10/11,13860,13.86
2019/10/14,13755,13.755
2019/10/15,13780,13.78
2019/10/16,13885,13.885
2019/10/17,13890,13.89
2019/10/18,13900,13.9
2019/10/21,13795,13.795
2019/10/22,13845,13.845
2019/10/23,13850,13.85
2019/10/24,13885,13.885
2019/10/25,13885,13.885
2019/10/28,13880,13.88
2019/10/29,13865,13.865
2019/10/30,13900,13.9
2019/10/31,13890,13.89
2019/11/1,13945,13.945
2019/11/4,14000,14
2019/11/5,14030,14.03
2019/11/6,14065,14.065
2019/11/7,14205,14.205
2019/11/8,14200,14.2
2019/11/11,14175,14.175
2019/11/12,14060,14.06
2019/11/13,14100,14.1
2019/11/14,14180,14.18
2019/11/15,13890,13.89
2019/11/18,13860,13.86
2019/11/19,13830,13.83
2019/11/20,13880,13.88
2019/11/21,13965,13.965
2019/11/22,13955,13.955
2019/11/25,13945,13.945
2019/11/26,13895,13.895
